True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year,Mar Up,Mar Down,Pred Up,Pred Down,Results
9151.05,9149.85,1.2,9151.05,9135.35,-82.35,0,17,4,1,0,1,0,1
11873.9,11934.09875,-60.19875,11873.9,11910.1,99.25,4,24,6,0,1,1,0,0
10543.05,10507.2835,35.7665,10543.05,10526.55,-50.15,0,9,2,1,0,0,1,0
11321.8,11313.51375,8.28625,11321.8,11317.45,9.15,3,34,8,1,0,0,1,0
8300.7,8298.9165,1.7835,8300.7,8307.25,19.5,2,3,1,0,1,0,1,1
10501.85,10467.8225,34.0275,10501.85,10462.3,-94.9,4,44,11,1,0,1,0,1
11741.65,11710.91625,30.73375,11741.65,11722.6,12.7,4,18,5,1,0,0,1,0
8678.1,8688.303,-10.203,8678.1,8698.05,96,4,16,4,0,1,0,1,1
17896.3,17875.1395,21.1605,17896.3,17867.55,-86.15,0,41,10,1,0,1,0,1
11559,11541.76425,17.23575,11559,11539.4,20.15,3,38,9,1,0,1,0,1
14108.7,14053.07575,55.62425,14108.7,14075.15,-124.15,1,1,1,1,0,0,1,0
10937.85,10945.3115,-7.4615,10937.85,10938.2,200.7,4,5,2,0,1,1,0,0
7700.75,7679.24325,21.50675,7700.75,7690.65,137.7,0,37,9,1,0,0,1,0
11266.65,11299.277,-32.627,11266.65,11289,-21.75,2,33,8,0,1,1,0,0
22679.05,22636.01475,43.03525,22679.05,22679.65,91.9,1,18,4,0,1,0,1,1
11976.45,11975.78025,0.66975,11976.45,12028.25,20.2,1,8,2,0,1,0,1,1
8390.25,8406.57425,-16.32425,8390.25,8390.95,-27.75,0,3,1,0,1,1,0,0
8635.55,8654.64225,-19.09225,8635.55,8657.3,49,2,43,10,0,1,0,1,1
17809.35,17790.99075,18.35925,17809.35,17810.55,13.4,3,40,10,0,1,0,1,1
8424.4,8429.16925,-4.76925,8424.4,8418.4,-12.8,3,3,1,1,0,1,0,1
16521.5,16447.69775,73.80225,16521.5,16481.65,-155.75,3,22,6,1,0,0,1,0
7781.5,7802.8085,-21.3085,7781.5,7788.8,-55.95,3,47,11,0,1,1,0,0
8478.9,8493.92775,-15.02775,8478.9,8503.6,67.95,4,44,11,0,1,0,1,1
22798.1,22742.98125,55.11875,22798.1,22762.75,56.95,2,22,5,1,0,0,1,0
13694.45,13704.176,-9.726,13694.45,13713.55,-21.3,3,51,12,0,1,0,1,1
8905.75,8910.078,-4.328,8905.75,8915.5,-32.95,3,36,9,0,1,0,1,1
10078.3,10071.465,6.835,10078.3,10062.35,-23.05,4,37,9,1,0,1,0,1
11584.65,11589.582,-4.932,11584.65,11596.65,-64.4,1,29,7,0,1,0,1,1
21714,21708.34525,5.65475,21714,21716.7,473.65,1,4,1,0,1,0,1,1
22129.9,22134.28275,-4.38275,22129.9,22126.5,-97.3,1,20,5,1,0,1,0,1
9822.95,9786.4065,36.5435,9822.95,9814.3,31.35,4,39,9,1,0,0,1,0
19434.1,19402.066,32.034,19434.1,19433.45,93.4,2,35,8,1,0,0,1,0
7012.85,7058.4105,-45.5605,7012.85,7029.85,46.45,3,8,2,0,1,1,0,0
